epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3764,1.6891,2.53509,1.59731,0.60051,0.25248,0.38857,0.17589,1.65896,2.57721,1.65156,0.000470147,0.000470147,0.000470147
2,66.4194,1.66503,1.96077,1.55631,0.39462,0.58947,0.4543,0.19373,1.78591,2.74329,1.86588,0.00092774,0.00092774,0.00092774
3,97.1496,1.67557,1.8667,1.56751,0.69448,0.38565,0.489,0.21753,1.80176,2.44609,1.8214,0.00136647,0.00136647,0.00136647
4,127.517,1.65784,1.74642,1.53755,0.54258,0.51842,0.49215,0.21186,1.87107,1.91059,1.87474,0.00134412,0.00134412,0.00134412
5,157.626,1.66505,1.6252,1.54086,0.62844,0.54205,0.5227,0.246,1.76883,2.08227,1.72,0.00131582,0.00131582,0.00131582
6,187.857,1.63495,1.5629,1.5242,0.57256,0.60527,0.57136,0.25824,1.76821,1.63668,1.75049,0.00128753,0.00128753,0.00128753
7,218.293,1.61205,1.53829,1.49807,0.60953,0.62853,0.63489,0.29766,1.73527,1.40573,1.74442,0.00125923,0.00125923,0.00125923
8,248.845,1.6063,1.40883,1.49187,0.67837,0.62466,0.66371,0.30762,1.7008,1.472,1.66393,0.00123094,0.00123094,0.00123094
9,279.401,1.60128,1.39475,1.48544,0.73737,0.69685,0.75086,0.36678,1.70226,1.30863,1.66817,0.00120265,0.00120265,0.00120265
10,310.355,1.5616,1.37179,1.48251,0.63779,0.6287,0.64282,0.29568,1.75344,1.52789,1.74538,0.00117435,0.00117435,0.00117435
11,340.473,1.56558,1.37296,1.46716,0.721,0.60491,0.66587,0.33328,1.67803,1.4334,1.64729,0.00114606,0.00114606,0.00114606
12,370.861,1.56365,1.25709,1.45625,0.74378,0.73178,0.75968,0.39536,1.61996,1.20854,1.608,0.00111776,0.00111776,0.00111776
