epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,102.077,1.07676,2.31227,3.03741,1.2674,0,0.24496,0.10269,0.19964,0.13693,0.24356,0.10254,0.20049,0.13498,1.11468,2.29696,3.30451,1.34092,0,0.000366593,0.000366593,0.000366593
2,156.417,1.1273,2.2288,2.18489,1.28994,0,0.32734,0.3982,0.30526,0.18382,0.37034,0.35874,0.29944,0.16769,1.16968,2.6922,3.43952,1.45969,0,0.00072963,0.00072963,0.00072963
3,208.65,1.16457,2.31926,2.02508,1.31713,0,0.38741,0.39583,0.31986,0.18918,0.38285,0.38452,0.30516,0.15399,1.31598,3.08498,2.64198,1.48591,0,0.00108534,0.00108534,0.00108534
4,262.063,1.14912,2.31465,1.86557,1.3051,0,0.45657,0.43771,0.41309,0.23985,0.49205,0.41319,0.40496,0.22237,1.30736,3.04735,2.2202,1.48807,0,0.001078,0.001078,0.001078
5,314.211,1.13974,2.23423,1.7329,1.28932,0,0.54915,0.46411,0.47839,0.30532,0.5117,0.49172,0.49085,0.29599,1.18343,2.28881,2.19048,1.39696,0,0.001067,0.001067,0.001067
6,367.782,1.10182,2.23524,1.68051,1.28977,0,0.53507,0.46975,0.43631,0.27441,0.52919,0.45521,0.43135,0.25358,1.1758,2.40218,1.97107,1.38282,0,0.00105601,0.00105601,0.00105601
7,419.836,1.07773,2.14282,1.58303,1.26251,0,0.49142,0.54921,0.51563,0.32167,0.50172,0.53724,0.51111,0.30297,1.15937,2.38041,2.00997,1.40114,0,0.00104501,0.00104501,0.00104501
8,472.129,1.05866,2.11453,1.52055,1.25372,0,0.51586,0.53497,0.51616,0.31553,0.50449,0.52185,0.49436,0.29866,1.13523,2.19149,1.81553,1.36693,0,0.00103401,0.00103401,0.00103401
9,524.712,1.04035,2.07608,1.49803,1.25208,0,0.59017,0.54624,0.57089,0.36973,0.61359,0.53024,0.56507,0.35639,1.07277,2.08854,1.52616,1.33563,0,0.00102301,0.00102301,0.00102301
10,577.396,1.03853,2.04464,1.46739,1.25126,0,0.59736,0.58672,0.59856,0.39263,0.59299,0.58627,0.5917,0.36992,1.06042,2.12042,1.51499,1.3226,0,0.00101201,0.00101201,0.00101201
11,630.077,1.02758,2.09222,1.40508,1.23904,0,0.61501,0.52496,0.55347,0.35216,0.63687,0.51388,0.56013,0.3525,1.14639,2.05701,1.79236,1.3587,0,0.00100101,0.00100101,0.00100101
12,682.089,1.00702,2.05476,1.3833,1.22634,0,0.62539,0.56106,0.58607,0.38576,0.64402,0.57163,0.60662,0.36774,1.0383,1.98495,1.4384,1.28723,0,0.000990012,0.000990012,0.000990012
13,735.473,0.9881,1.99351,1.34903,1.20656,0,0.59093,0.56696,0.59516,0.39413,0.58687,0.56669,0.58684,0.36511,1.04604,2.1058,1.36851,1.31009,0,0.000979013,0.000979013,0.000979013
14,787.214,0.97697,1.97226,1.29113,1.19735,0,0.60831,0.61399,0.6242,0.40445,0.60401,0.60827,0.61904,0.39097,1.05249,2.01593,1.28408,1.31786,0,0.000968014,0.000968014,0.000968014
15,840.504,0.96793,1.95695,1.27929,1.19627,0,0.6414,0.47703,0.53075,0.35954,0.6325,0.46674,0.51977,0.33025,1.06742,2.11919,1.64151,1.30443,0,0.000957015,0.000957015,0.000957015
16,891.226,0.96327,1.94423,1.27707,1.19261,0,0.56969,0.52798,0.56821,0.37019,0.56724,0.52436,0.56796,0.35953,1.06974,2.10613,1.64059,1.32612,0,0.000946016,0.000946016,0.000946016
17,943.113,0.966,1.95293,1.24728,1.1905,0,0.52773,0.62176,0.58753,0.38464,0.52102,0.61451,0.57813,0.35598,1.00596,2.11619,1.34633,1.27972,0,0.000935018,0.000935018,0.000935018
18,995.713,0.96082,1.95512,1.25248,1.19008,0,0.69186,0.61401,0.6558,0.43759,0.67958,0.60935,0.64268,0.41239,1.00529,2.02084,1.24468,1.25832,0,0.000924019,0.000924019,0.000924019
19,1048.85,0.95449,1.88939,1.22739,1.18775,0,0.64309,0.5873,0.62433,0.41525,0.64439,0.59074,0.61999,0.39451,1.00655,1.93253,1.29597,1.28296,0,0.00091302,0.00091302,0.00091302
20,1100.45,0.92536,1.88453,1.19106,1.18458,0,0.62132,0.61244,0.64283,0.42601,0.63135,0.61319,0.63959,0.41445,0.9943,1.92303,1.26903,1.28347,0,0.000902021,0.000902021,0.000902021
21,1154.73,0.91232,1.87608,1.16156,1.16156,0,0.68454,0.58572,0.63377,0.42807,0.71125,0.56612,0.63565,0.41009,1.00995,1.95584,1.30123,1.27705,0,0.000891022,0.000891022,0.000891022
22,1207.19,0.93885,1.86924,1.18669,1.18414,0,0.68323,0.61022,0.66242,0.44588,0.69319,0.61792,0.6645,0.42342,0.99442,1.9561,1.1842,1.27623,0,0.000880023,0.000880023,0.000880023
23,1261.85,0.92621,1.90813,1.16015,1.16029,0,0.70673,0.58156,0.64255,0.43888,0.70608,0.57848,0.63583,0.41476,0.99326,2.0164,1.27427,1.26485,0,0.000869024,0.000869024,0.000869024
24,1314.39,0.94379,1.91342,1.18916,1.17904,0,0.6748,0.59512,0.65145,0.43719,0.68052,0.5948,0.64953,0.4191,1.00092,1.91204,1.26731,1.25015,0,0.000858025,0.000858025,0.000858025
