epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,269.234,1.0192,2.19347,2.498,1.33648,0,0.35652,0.46659,0.35054,0.21139,0.35876,0.4726,0.34542,0.20324,1.26516,2.45133,2.46746,1.69172,0,0.00036744,0.00036744,0.00036744
2,465.863,1.09613,2.22177,1.73239,1.38804,0,0.44579,0.33633,0.31116,0.19863,0.43812,0.33542,0.30032,0.17875,1.32001,2.91815,2.27924,1.68692,0,0.000730469,0.000730469,0.000730469
3,664.825,1.14506,2.33749,1.69757,1.41386,0,0.391,0.35895,0.31307,0.18598,0.40575,0.3556,0.30383,0.1539,1.41637,3.13383,2.21096,1.7951,0,0.00108617,0.00108617,0.00108617
4,864.584,1.13526,2.26082,1.61524,1.41044,0,0.433,0.40805,0.36527,0.21291,0.44913,0.40534,0.36102,0.19557,1.3632,2.74271,2.32151,1.67958,0,0.001078,0.001078,0.001078
5,1072.05,1.09673,2.20018,1.53582,1.37954,0,0.48827,0.40222,0.40964,0.24704,0.47501,0.41312,0.40627,0.23406,1.27436,2.42004,1.9813,1.62083,0,0.001067,0.001067,0.001067
6,1269.65,1.06625,2.13803,1.50361,1.35153,0,0.49184,0.46869,0.44485,0.26861,0.48088,0.47881,0.4487,0.26504,1.27822,2.37787,1.94867,1.61958,0,0.00105601,0.00105601,0.00105601
7,1471.6,1.01836,2.12394,1.44464,1.34323,0,0.45285,0.38773,0.38262,0.23945,0.49084,0.37176,0.38244,0.22733,1.26157,2.40278,2.00267,1.59691,0,0.00104501,0.00104501,0.00104501
8,1672.87,1.00426,2.07534,1.41038,1.3148,0,0.58914,0.49591,0.53733,0.33889,0.58987,0.49645,0.52857,0.3249,1.14306,2.24527,1.5413,1.48731,0,0.00103401,0.00103401,0.00103401
9,1871.49,0.96403,2.01752,1.33696,1.29794,0,0.52577,0.57172,0.54658,0.34218,0.52193,0.56676,0.53649,0.32359,1.12499,2.14371,1.47921,1.47982,0,0.00102301,0.00102301,0.00102301
10,2070.83,0.95794,1.958,1.30687,1.28284,0,0.63225,0.52736,0.57572,0.37469,0.63304,0.52564,0.56382,0.35285,1.06866,2.12058,1.43017,1.46616,0,0.00101201,0.00101201,0.00101201
