epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2507,1.09511,2.73137,3.90849,1.49106,0,0.75681,0.08472,0.18649,0.12939,0.94783,0.03284,0.18499,0.12153,1.00218,2.42539,3.88822,1.37103,0,0.000219863,0.000219863,0.000219863
2,107.01,1.08028,2.28353,3.00352,1.46329,0,0.57501,0.35166,0.37519,0.24928,0.55002,0.33914,0.35574,0.22288,1.05357,2.51576,2.99598,1.48886,0,0.000398419,0.000398419,0.000398419
3,143.233,1.08047,2.26025,2.61028,1.46645,0,0.61179,0.39902,0.42532,0.27629,0.60564,0.39307,0.41424,0.26138,1.15509,2.31507,2.66571,1.50433,0,0.000532953,0.000532953,0.000532953
4,179.888,1.03503,2.0868,2.30729,1.41268,0,0.48378,0.50237,0.47461,0.31141,0.48272,0.50351,0.47078,0.29192,1.0719,2.14628,2.4571,1.41759,0,0.000468901,0.000468901,0.000468901
5,216.534,1.00778,2.02909,2.13287,1.38455,0,0.60307,0.50232,0.52478,0.34784,0.59632,0.48892,0.50997,0.31974,1.06743,2.05715,2.16873,1.41683,0,0.000402868,0.000402868,0.000402868
6,255.074,0.94122,1.85724,1.94571,1.32156,0,0.60607,0.58882,0.57578,0.38528,0.67436,0.50362,0.55893,0.36649,1.01583,1.86983,2.08374,1.35264,0,0.000336835,0.000336835,0.000336835
7,289.897,0.86873,1.75353,1.77342,1.27585,0,0.619,0.56803,0.59544,0.41226,0.61469,0.54925,0.58122,0.38896,0.97736,1.85972,1.90118,1.30258,0,0.000270802,0.000270802,0.000270802
8,326.16,0.83908,1.63146,1.65684,1.2512,0,0.70861,0.59948,0.63638,0.45193,0.69701,0.59526,0.62455,0.42234,0.88763,1.74744,1.71865,1.26256,0,0.000204769,0.000204769,0.000204769
9,361.755,0.76886,1.51082,1.49355,1.18782,0,0.73506,0.62861,0.67129,0.49381,0.7349,0.62465,0.6624,0.46468,0.827,1.63722,1.62933,1.2023,0,0.000138736,0.000138736,0.000138736
10,397.677,0.74168,1.48881,1.40967,1.17977,0,0.70316,0.63103,0.66813,0.49247,0.69908,0.6257,0.65721,0.46719,0.82002,1.56938,1.55595,1.17961,0,7.2703e-05,7.2703e-05,7.2703e-05
