epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6091,0.94061,2.35864,3.08998,1.33614,0,0.70192,0.40794,0.41446,0.27107,0.6906,0.39325,0.40457,0.25524,1.04741,2.29165,2.84607,1.44806,0,0.00030022,0.00030022,0.00030022
2,141.7,0.92713,1.94308,1.97384,1.30624,0,0.54341,0.48037,0.44372,0.28675,0.54069,0.4785,0.4528,0.27856,1.10369,2.16863,2.41609,1.50242,0,0.000597248,0.000597248,0.000597248
3,192.369,0.92756,1.90029,1.71243,1.29115,0,0.6555,0.39302,0.47938,0.28383,0.76753,0.40428,0.48096,0.26982,1.22054,2.52948,2.68129,1.68377,0,0.000888277,0.000888277,0.000888277
4,242.707,0.92118,1.89909,1.60236,1.28331,0,0.51326,0.44729,0.4707,0.29719,0.52581,0.42011,0.45551,0.26275,1.12472,2.36976,2.25233,1.54468,0,0.000882003,0.000882003,0.000882003
5,291.967,0.89121,1.80988,1.48325,1.26036,0,0.56866,0.46333,0.51299,0.34819,0.57148,0.46737,0.52281,0.33449,1.13598,2.24482,2.0314,1.60832,0,0.000873004,0.000873004,0.000873004
6,342.588,0.88198,1.75023,1.35682,1.24321,0,0.59454,0.64566,0.63592,0.42555,0.60805,0.61978,0.63507,0.4055,1.01579,1.97942,1.66244,1.40864,0,0.000864004,0.000864004,0.000864004
7,392.85,0.84802,1.70624,1.30664,1.22452,0,0.68093,0.64156,0.67894,0.44929,0.66933,0.63532,0.66432,0.42748,1.06357,2.01256,1.48127,1.42177,0,0.000855005,0.000855005,0.000855005
8,441.939,0.84771,1.6896,1.27169,1.22446,0,0.75772,0.60228,0.707,0.5027,0.76196,0.60482,0.71169,0.48443,0.97445,1.81155,1.28999,1.36015,0,0.000846006,0.000846006,0.000846006
9,491.779,0.83149,1.65812,1.21966,1.21788,0,0.61174,0.63781,0.64309,0.42921,0.62037,0.63582,0.64682,0.41533,1.05069,1.97834,1.43749,1.41919,0,0.000837007,0.000837007,0.000837007
10,540.655,0.80732,1.61865,1.17789,1.19667,0,0.68114,0.68756,0.73627,0.52238,0.6723,0.68335,0.72081,0.49384,0.89517,1.78099,1.25233,1.29641,0,0.000828008,0.000828008,0.000828008
11,589.316,0.78234,1.57993,1.1108,1.17739,0,0.79732,0.67586,0.76428,0.53584,0.79056,0.67387,0.76329,0.5209,0.91744,1.63976,1.15415,1.30651,0,0.000819009,0.000819009,0.000819009
12,639.251,0.79522,1.53234,1.08257,1.17912,0,0.65458,0.71808,0.7397,0.53096,0.66133,0.72565,0.75171,0.52026,0.8932,1.61827,1.18294,1.27247,0,0.00081001,0.00081001,0.00081001
13,687.649,0.75421,1.50954,1.02608,1.15394,0,0.71881,0.6839,0.73126,0.54042,0.71713,0.68219,0.72534,0.52021,0.90859,1.64787,1.15025,1.30812,0,0.000801011,0.000801011,0.000801011
14,738.055,0.73921,1.46797,1.03078,1.15075,0,0.73551,0.654,0.72281,0.50829,0.73676,0.65296,0.71458,0.48942,0.91967,1.69978,1.21347,1.29883,0,0.000792012,0.000792012,0.000792012
15,786.885,0.72298,1.461,0.98015,1.13718,0,0.7586,0.75065,0.77294,0.55252,0.7588,0.74571,0.77164,0.54829,0.88774,1.55895,1.01613,1.26803,0,0.000783013,0.000783013,0.000783013
16,836.593,0.72324,1.43308,0.97366,1.13274,0,0.74333,0.71042,0.77991,0.58026,0.73282,0.72345,0.782,0.57103,0.83869,1.45673,0.95924,1.22382,0,0.000774013,0.000774013,0.000774013
17,886.784,0.71719,1.42725,0.94632,1.13048,0,0.78012,0.75817,0.82193,0.58913,0.78003,0.75852,0.82025,0.56817,0.86667,1.55307,0.94715,1.25787,0,0.000765014,0.000765014,0.000765014
18,935.574,0.70619,1.39531,0.94357,1.13424,0,0.8006,0.75065,0.81204,0.59641,0.79923,0.74931,0.81121,0.59041,0.85329,1.44572,0.86145,1.25102,0,0.000756015,0.000756015,0.000756015
19,986.073,0.71437,1.41147,0.93218,1.12991,0,0.81811,0.76171,0.85426,0.61754,0.81769,0.76269,0.8448,0.6149,0.85376,1.40047,0.8713,1.21447,0,0.000747016,0.000747016,0.000747016
20,1036.05,0.70179,1.40177,0.90384,1.12438,0,0.81803,0.75535,0.84246,0.60894,0.8092,0.74565,0.82009,0.58889,0.84616,1.57983,0.91102,1.25813,0,0.000738017,0.000738017,0.000738017
21,1085.61,0.67903,1.33252,0.85491,1.10326,0,0.83869,0.78108,0.85671,0.63367,0.84404,0.7851,0.86031,0.62187,0.8178,1.40629,0.81139,1.20388,0,0.000729018,0.000729018,0.000729018
22,1135.14,0.70061,1.36026,0.86166,1.12429,0,0.76088,0.75504,0.8182,0.60563,0.73283,0.77171,0.80988,0.59497,0.82217,1.4405,0.83723,1.20854,0,0.000720019,0.000720019,0.000720019
23,1183.55,0.6747,1.35,0.83913,1.11213,0,0.71128,0.76432,0.80023,0.60123,0.70722,0.75685,0.78887,0.58461,0.80795,1.45251,0.8942,1.18441,0,0.00071102,0.00071102,0.00071102
24,1233.12,0.67366,1.31953,0.84825,1.10451,0,0.78285,0.8139,0.84686,0.62362,0.78265,0.80137,0.83938,0.60766,0.83143,1.42566,0.82792,1.21078,0,0.000702021,0.000702021,0.000702021
25,1281.79,0.66434,1.28428,0.82657,1.09769,0,0.72734,0.74345,0.80325,0.58676,0.72684,0.74174,0.79543,0.57867,0.83826,1.40597,0.92154,1.20279,0,0.000693022,0.000693022,0.000693022
26,1331.35,0.66088,1.29551,0.82013,1.09864,0,0.8186,0.72912,0.82041,0.61998,0.8218,0.72587,0.81691,0.59923,0.79769,1.37825,0.81349,1.18966,0,0.000684022,0.000684022,0.000684022
27,1381.34,0.65585,1.27643,0.80718,1.09315,0,0.80694,0.77447,0.8469,0.63884,0.79353,0.78548,0.84306,0.62453,0.79678,1.39681,0.81422,1.17731,0,0.000675023,0.000675023,0.000675023
